title,category,date,link,image
MKGR Masih Buka Pintu jika Jokowi dan Gibran Ingin Bergabung,NEWS,07/05/2025,https://nasional.kompas.com/read/2025/05/07/20303821/mkgr-masih-buka-pintu-jika-jokowi-dan-gibran-ingin-bergabung,https://asset.kompas.com/crops/fDir2jV-tHUtisHWgRytk-SACYg=/0x0:0x0/230x153/data/photo/2025/04/16/67ffc84a39257.jpg
"MKD Tetapkan Ahmad Dhani Langgar Kode Etik, Kasus Apa dan Bagaimana Sanksinya?",TREN,07/05/2025,https://www.kompas.com/tren/read/2025/05/07/193000465/mkd-tetapkan-ahmad-dhani-langgar-kode-etik-kasus-apa-dan-bagaimana,https://asset.kompas.com/crops/7eOXsPn1YaP4P-SDLMrltJGy9sI=/0x0:0x0/230x153/data/photo/2025/05/07/681ae2a7b3e20.jpg
Tangis Haru Luna Maya Saat Maxime Bouttier Ucapkan Ijab Kabul,HYPE,07/05/2025,https://www.kompas.com/hype/read/2025/05/07/165559666/tangis-haru-luna-maya-saat-maxime-bouttier-ucapkan-ijab-kabul,https://asset.kompas.com/crops/H-onqYGJ8HTtVglKhro7itrJAs8=/387x0:2007x1080/230x153/data/photo/2025/05/07/681b28052d89b.jpg
"Kecelakaan Maut di Kalijambe Purworejo, 5 Ibu Guru Dinyatakan Tewas, 1 Sopir Luka Berat",PROV,07/05/2025,https://www.kompas.com/jawa-timur/read/2025/05/07/162231188/kecelakaan-maut-di-kalijambe-purworejo-5-ibu-guru-dinyatakan-tewas-1,https://asset.kompas.com/crops/wI8HQdsqj9dUxLjg5l2CL_PAD6o=/0x0:0x0/230x153/data/photo/2025/05/07/681b17c22f165.jpg
"Link Live Streaming PSG vs Arsenal di Leg 2 Semifinal Liga Champions, Kickoff Kamis Pukul 02.00 WIB",PROV,07/05/2025,https://www.kompas.com/kalimantan-timur/read/2025/05/07/232420788/link-live-streaming-psg-vs-arsenal-di-leg-2-semifinal-liga,https://asset.kompas.com/crops/sVPWS5UhiFQLFDZQ3qZYB5IBwUo=/100x0:827x485/230x153/data/photo/2025/04/30/6811439012184.jpg
Latar Belakang Konflik India dan Pakistan,STORI,07/05/2025,https://www.kompas.com/stori/read/2025/05/07/180000979/latar-belakang-konflik-india-dan-pakistan,https://asset.kompas.com/crops/OZHXXfFgNXT1IyNfY8f1SGnU4f8=/62x0:905x562/230x153/data/photo/2020/11/24/5fbc72779f79e.jpg
Lima RT di Jakarta Selatan Terendam Banjir akibat Hujan Deras dan Luapan Kali,NEWS,07/05/2025,https://megapolitan.kompas.com/read/2025/05/07/16041591/lima-rt-di-jakarta-selatan-terendam-banjir-akibat-hujan-deras-dan-luapan,https://asset.kompas.com/crops/h-NZzefeVDBIgpjCH_UOFvmedVY=/0x208:4080x2928/230x153/data/photo/2025/01/29/6799b2b8ae632.jpg
Pihak Hasto Nyatakan Rekaman yang Jadi Bukti KPK Ilegal karena Tak Berizin,NEWS,07/05/2025,https://nasional.kompas.com/read/2025/05/07/17250591/pihak-hasto-nyatakan-rekaman-yang-jadi-bukti-kpk-ilegal-karena-tak-berizin,https://asset.kompas.com/crops/8qdgznu8S0tpuN-KCpGwwNebo_Q=/0x0:5000x3333/230x153/data/photo/2025/04/30/6811a22f9ba73.jpg
"Joki UTBK Unhas Makassar Mahasiswi Kedokteran Berprestasi, Tergiur Imbalan Rp 2 Juta",REGIONAL,07/05/2025,https://regional.kompas.com/read/2025/05/07/192802378/joki-utbk-unhas-makassar-mahasiswi-kedokteran-berprestasi-tergiur-imbalan,https://asset.kompas.com/crops/MhTdZXyaG_AoKKbdAkqjDn1yuug=/0x0:0x0/230x153/data/photo/2025/05/07/681b404aca907.jpg
"Prediksi Line Up PSG vs Arsenal: Partey Kembali, Dembele Siap Beraksi",BOLA,07/05/2025,https://bola.kompas.com/read/2025/05/07/16272408/prediksi-line-up-psg-vs-arsenal-partey-kembali-dembele-siap-beraksi,https://asset.kompas.com/crops/PZXUjBNKBHCxwfI2JNIWIc-Nzec=/303x0:1024x481/230x153/data/photo/2025/04/05/67f159b2125f7.jpg
India Vs Pakistan Bisa Jadi Perang Habis-habisan,GLOBAL,07/05/2025,https://www.kompas.com/global/read/2025/05/07/173146270/india-vs-pakistan-bisa-jadi-perang-habis-habisan,https://asset.kompas.com/crops/seADdRbpvu3MraqlTFNAUaNeyWg=/0x0:1023x682/230x153/data/photo/2025/05/07/681acbc74607c.jpg
"100 Password yang Mudah Diretas Kurang dari 1 Detik, Sebaiknya Jangan Dipakai",TREN,07/05/2025,https://www.kompas.com/tren/read/2025/05/07/203000165/100-password-yang-mudah-diretas-kurang-dari-1-detik-sebaiknya-jangan,https://asset.kompas.com/crops/avCFaiIAXFgAhcYJE_nInHU-7vw=/159x699:1428x1546/230x153/data/photo/2025/05/07/681b204fb5fa0.png
"Sukses Jadi Mak Comblang Luna Maya dan Maxime Bouttier, Nagita Slavina: Happy Lahir Batin",HYPE,07/05/2025,https://www.kompas.com/hype/read/2025/05/07/180108366/sukses-jadi-mak-comblang-luna-maya-dan-maxime-bouttier-nagita-slavina-happy,https://asset.kompas.com/crops/G50oTg8gwLXKjmdBD2tsFrU-NTw=/0x0:0x0/230x153/data/photo/2025/05/07/681b1a02845d4.jpeg
"Saat Jokowi Tak Datang Sidang Ijazah, Malah Bernyanyi dengan Andrea Hehanussa",REGIONAL,07/05/2025,https://regional.kompas.com/read/2025/05/07/163741678/saat-jokowi-tak-datang-sidang-ijazah-malah-bernyanyi-dengan-andrea,https://asset.kompas.com/crops/6TL_-axf4Qbox410173lzTp69e8=/0x0:0x0/230x153/data/photo/2025/05/07/681b234d79282.jpg
Canda Prabowo: Bill Gates Lebih Pancasila daripada Kita,NEWS,07/05/2025,https://nasional.kompas.com/read/2025/05/07/17333351/canda-prabowo-bill-gates-lebih-pancasila-daripada-kita,https://asset.kompas.com/crops/yO0ladcaZdD341pXk1PNPkyd0G0=/204x111:4204x2777/230x153/data/photo/2025/05/07/681b0fe185555.jpg
