title,category,date,link,image
"Dicecar Arteria Dahlan, Guru Besar Unsoed: Gratifikasi Sumber Kejahatan, tapi Dianggap Rezeki Anak Saleh",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/18254251/dicecar-arteria-dahlan-guru-besar-unsoed-gratifikasi-sumber-kejahatan-tapi,https://asset.kompas.com/crops/r6lSfwyu_WJDAYJk9byJvg_Ms0s=/158x196:2605x1828/230x153/data/photo/2025/05/05/681855f011814.jpg
"6 Tanda Tekanan Darah Tinggi yang Dirasakan Saat Tidur, Jangan Diabaikan",TREN,05/05/2025,https://www.kompas.com/tren/read/2025/05/05/193000065/6-tanda-tekanan-darah-tinggi-yang-dirasakan-saat-tidur-jangan-diabaikan-,https://asset.kompas.com/crops/hir9mi-ezeXzKs1AANmbPkxkMi8=/2x0:1195x795/230x153/data/photo/2025/03/20/67db979c92710.jpg
"Persik Vs Persebaya 3-3, Tandukan Fergonzi Bawa Persib Bandung Juara Liga 1",BOLA,05/05/2025,https://bola.kompas.com/read/2025/05/05/17314078/persik-vs-persebaya-3-3-tandukan-fergonzi-bawa-persib-bandung-juara-liga-1,https://asset.kompas.com/crops/N7x_DU_rHr5jMYgrrvlq3AppqQw=/562x367:3656x2430/230x153/data/photo/2025/05/05/68188c153f231.jpeg
"Kata Luhut, Tak Ada yang Aneh dengan Kisruh Mutasi Letjen Kunto Usai Try Sutrisno Dukung Pemakzulan Gibran",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/19092081/kata-luhut-tak-ada-yang-aneh-dengan-kisruh-mutasi-letjen-kunto-usai-try,https://asset.kompas.com/crops/C9AkFFaMk60VY3JpQ1BDFtSlLAM=/294x71:1200x675/230x153/data/photo/2025/03/31/67ea4218e1204.jpg
"8 Tahun Buron, Mantan Teller Korupsi Rp 2 M Ditangkap di Bandar Lampung",REGIONAL,05/05/2025,https://regional.kompas.com/read/2025/05/05/190228978/8-tahun-buron-mantan-teller-korupsi-rp-2-m-ditangkap-di-bandar-lampung,https://asset.kompas.com/crops/JMbQpKgSengQ4MZ6A7ooW5eaCF4=/0x0:0x0/230x153/data/photo/2025/05/05/6818a53b580ff.jpg
Klasemen Liga 1 2024-2025 Usai Persib Dipastikan Juara Beruntun,BOLA,05/05/2025,https://bola.kompas.com/read/2025/05/05/17584558/klasemen-liga-1-2024-2025-usai-persib-dipastikan-juara-beruntun,https://asset.kompas.com/crops/1sDWlVbeME0GJTPLxi8jxlDxHAU=/0x0:3693x2462/230x153/data/photo/2025/04/26/680cfd5abdb90.jpeg
"Ditemui Sesama Hakim Pembebas Ronald Tannur, Heru Hanindyo: Dia Menyesal Seret Nama Saya",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/16325371/ditemui-sesama-hakim-pembebas-ronald-tannur-heru-hanindyo-dia-menyesal-seret,https://asset.kompas.com/crops/FLgcohy6VUO06QH5pkU66f5vUYA=/0x0:0x0/230x153/data/photo/2025/04/29/6810dc05b309b.jpg
Mengapa Pindai Iris Mata di WorldID Bisa Dapat Uang?,NEWS,05/05/2025,https://megapolitan.kompas.com/read/2025/05/05/17464211/mengapa-pindai-iris-mata-di-worldid-bisa-dapat-uang,https://asset.kompas.com/crops/dBC704tJ4RNPfa50PwYCtnXz4AY=/0x47:1548x1079/230x153/data/photo/2025/05/05/681832086641a.png
"Hollywood ""Sekarat"", Trump Kenakan Tarif 100 Persen untuk Film Asing",TREN,05/05/2025,https://www.kompas.com/tren/read/2025/05/05/183000965/hollywood-sekarat-trump-kenakan-tarif-100-persen-untuk-film-asing,https://asset.kompas.com/crops/RFe3GSTbQbWz4guMSIdXBfwyPM4=/18x6:716x471/230x153/data/photo/2025/01/11/678167c79f77c.png
"Ahmad Dhani Berniat Buat Panggung Band di Lokasi Resepsi Al Ghazali, Mulan Jameela: Jangan Kegedean",HYPE,05/05/2025,https://www.kompas.com/hype/read/2025/05/05/190744766/ahmad-dhani-berniat-buat-panggung-band-di-lokasi-resepsi-al-ghazali-mulan,https://asset.kompas.com/crops/QJbKfzlHyg7BEGvdC_-DB76uHFM=/125x0:617x328/230x153/data/photo/2025/05/05/68187cc5775ae.png
"3 Jalur Mandiri UGM 2025 Serentak Dibuka Besok, Ini Syarat Lengkapnya",EDUKASI,05/05/2025,https://www.kompas.com/edu/read/2025/05/05/174236571/3-jalur-mandiri-ugm-2025-serentak-dibuka-besok-ini-syarat-lengkapnya,https://asset.kompas.com/crops/5C0E1hWF7-2quoYiuuqGZDed024=/0x0:750x500/230x153/data/photo/2025/02/05/67a2e64448bdc.jpg
"Saat Prabowo Merasa Pidatonya Kebablasan, Tak Sadar Diliput Wartawan",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/16542841/saat-prabowo-merasa-pidatonya-kebablasan-tak-sadar-diliput-wartawan,https://asset.kompas.com/crops/chEYokWNUhRy2vydmt0DGrLkPbo=/0x0:0x0/230x153/data/photo/2025/05/04/68175f8bcae02.jpg
"Persib Juara, Farhan Persilakan Bobotoh Konvoi asal Tertib, Tak Euforia Berlebih",REGIONAL,05/05/2025,https://bandung.kompas.com/read/2025/05/05/190850778/persib-juara-farhan-persilakan-bobotoh-konvoi-asal-tertib-tak-euforia,https://asset.kompas.com/crops/HoZUxDbiUMeNw4UOYegBBr2Lp7g=/0x0:3693x2462/230x153/data/photo/2025/05/05/6818a31712bb1.jpeg
BYD Pastikan Denza Z9 Segera Dipasarkan di Indonesia,OTOMOTIF,05/05/2025,https://otomotif.kompas.com/read/2025/05/05/163100715/byd-pastikan-denza-z9-segera-dipasarkan-di-indonesia,https://asset.kompas.com/crops/7hgG8jAkzi4l3LWxShsQ1KV0hHc=/1103x963:3327x2446/230x153/data/photo/2025/02/13/67adc5cbbfe2f.jpeg
"Hasan Nasbi Masih Ikut Sidang Kabinet meski Sudah Kirim Surat ""Resign"", Disapa ""Hei"" oleh Prabowo",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/16123181/hasan-nasbi-masih-ikut-sidang-kabinet-meski-sudah-kirim-surat-resign-disapa,https://asset.kompas.com/crops/oddFa1YlBgt5F7xXpkYs8r3n2Uw=/0x0:0x0/230x153/data/photo/2025/05/05/68187fb230cc6.jpg
Try Sutrisno Hadiri Halal Bihalal Purnawirawan TNI di Tengah Tuntutan Wapres Gibran Dicopot,NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/16374471/try-sutrisno-hadiri-halal-bihalal-purnawirawan-tni-di-tengah-tuntutan-wapres,https://asset.kompas.com/crops/Dx_Nann4mBhwV9PK26XlIsKByGs=/276x112:905x532/230x153/data/photo/2025/05/06/6819d7a9d9ce5.jpeg
Luhut ke Pihak yang Minta Wapres Gibran Dicopot: Kau Jangan Tinggal di Indonesia!,NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/20010831/luhut-ke-pihak-yang-minta-wapres-gibran-dicopot-kau-jangan-tinggal-di,https://asset.kompas.com/crops/BtIEqpsoitoCvBGcE4fOmxjxhH0=/130x0:1210x720/230x153/data/photo/2025/03/31/67ea2bb16e435.jpeg
"Prabowo Hadiri Halal Bihalal Purnawirawan TNI, Langsung Duduk di Samping Try Sutrisno",NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/16402751/prabowo-hadiri-halal-bihalal-purnawirawan-tni-langsung-duduk-di-samping-try,https://asset.kompas.com/crops/apukvqoyu8trBZp-yrodcXjuYlU=/0x0:0x0/230x153/data/photo/2025/05/06/6819dbb04a9d2.jpg
Andre Taulany Ajukan Gugatan Cerai Baru terhadap Rien Wartia Trigina,HYPE,06/05/2025,https://www.kompas.com/hype/read/2025/05/06/180006866/andre-taulany-ajukan-gugatan-cerai-baru-terhadap-rien-wartia-trigina,https://asset.kompas.com/crops/It0YmlV8aX9nUPM5wW8lAXQEI4g=/0x387:1080x1107/230x153/data/photo/2024/08/08/66b4209b9c5f8.jpg
"Momen Prabowo Minta AHY Pimpin Hymne Taruna, Minta Wiranto-Teddy Dampingi",NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/18341581/momen-prabowo-minta-ahy-pimpin-hymne-taruna-minta-wiranto-teddy-dampingi,https://asset.kompas.com/crops/hoaSTVKsQ1N1uR1UafRueJK8Sdw=/0x0:0x0/230x153/data/photo/2025/05/06/6819f27c6c996.jpg
"Dimutasi ke RS Fatmawati, Dokter Piprim: Ini Hukuman Karena Menentang Pengambilalihan Kolegium",NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/19293541/dimutasi-ke-rs-fatmawati-dokter-piprim-ini-hukuman-karena-menentang,https://asset.kompas.com/crops/iPxg_lEqRX4gc1MMQyDVE87pdQk=/0x0:0x0/230x153/data/photo/2022/11/20/6379b41ddf9be.jpg
Natalius Pigai: Kebijakan Deddy Mulyadi Didik Anak Nakal ke Barak Militer Tak Langgar HAM,NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/16453241/natalius-pigai-kebijakan-deddy-mulyadi-didik-anak-nakal-ke-barak-militer-tak,https://asset.kompas.com/crops/BUGPhx8axFGZzczvcavCze5IuWA=/0x0:0x0/230x153/data/photo/2025/03/19/67da908ad7dac.jpeg
"Polemik Jembatan Haji Endang-BBWS, Dedi Mulyadi Turun Cari Tahu Akar Masalah",REGIONAL,06/05/2025,https://bandung.kompas.com/read/2025/05/06/160605678/polemik-jembatan-haji-endang-bbws-dedi-mulyadi-turun-cari-tahu-akar-masalah,https://asset.kompas.com/crops/QLTfxORY3PBbToH_Wf-oHLYbIIo=/0x0:0x0/230x153/data/photo/2025/05/06/68195dffd61ab.jpg
"Sidang Tom Lembong, Saksi Ungkap Moeldoko Teken MoU Pengadaan Gula Tahun 2013",NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/16134651/sidang-tom-lembong-saksi-ungkap-moeldoko-teken-mou-pengadaan-gula-tahun-2013,https://asset.kompas.com/crops/dSES64jNnHaSUw9edT6sS2Gg6ZE=/0x0:0x0/230x153/data/photo/2025/05/06/6819ccc55c128.jpg
Hormat Prabowo untuk Try Sutrisno Sebelum Berpidato di Halal Bihalal Purnawirawan TNI,NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/17244331/hormat-prabowo-untuk-try-sutrisno-sebelum-berpidato-di-halal-bihalal,https://asset.kompas.com/crops/Hz5xStif1_-yklDCqqtFhZ_bH34=/0x0:0x0/230x153/data/photo/2025/05/06/6819e27e2a535.jpg
