title,category,date,link
"persib juara, farhan persilakan bobotoh konvoi asal tertib, tak euforia berlebih",Olahraga,05/05/2025,https://bandung.kompas.com/read/2025/05/05/190850778/persib-juara-farhan-persilakan-bobotoh-konvoi-asal-tertib-tak-euforia
byd pastikan denza z9 segera dipasarkan di indonesia,Ekonomi,05/05/2025,https://otomotif.kompas.com/read/2025/05/05/163100715/byd-pastikan-denza-z9-segera-dipasarkan-di-indonesia
"hasan nasbi masih ikut sidang kabinet meski sudah kirim surat ""resign"", disapa ""hei"" oleh prabowo",Politik,05/05/2025,https://nasional.kompas.com/read/2025/05/05/16123181/hasan-nasbi-masih-ikut-sidang-kabinet-meski-sudah-kirim-surat-resign-disapa
try sutrisno hadiri halal bihalal purnawirawan tni di tengah tuntutan wapres gibran dicopot,Politik,06/05/2025,https://nasional.kompas.com/read/2025/05/06/16374471/try-sutrisno-hadiri-halal-bihalal-purnawirawan-tni-di-tengah-tuntutan-wapres
luhut ke pihak yang minta wapres gibran dicopot: kau jangan tinggal di indonesia!,Politik,06/05/2025,https://nasional.kompas.com/read/2025/05/06/20010831/luhut-ke-pihak-yang-minta-wapres-gibran-dicopot-kau-jangan-tinggal-di
"prabowo hadiri halal bihalal purnawirawan tni, langsung duduk di samping try sutrisno",Politik,06/05/2025,https://nasional.kompas.com/read/2025/05/06/16402751/prabowo-hadiri-halal-bihalal-purnawirawan-tni-langsung-duduk-di-samping-try
andre taulany ajukan gugatan cerai baru terhadap rien wartia trigina,Lainnya,06/05/2025,https://www.kompas.com/hype/read/2025/05/06/180006866/andre-taulany-ajukan-gugatan-cerai-baru-terhadap-rien-wartia-trigina
"momen prabowo minta ahy pimpin hymne taruna, minta wiranto-teddy dampingi",Politik,06/05/2025,https://nasional.kompas.com/read/2025/05/06/18341581/momen-prabowo-minta-ahy-pimpin-hymne-taruna-minta-wiranto-teddy-dampingi
"dimutasi ke rs fatmawati, dokter piprim: ini hukuman karena menentang pengambilalihan kolegium",Kesehatan,06/05/2025,https://nasional.kompas.com/read/2025/05/06/19293541/dimutasi-ke-rs-fatmawati-dokter-piprim-ini-hukuman-karena-menentang
natalius pigai: kebijakan deddy mulyadi didik anak nakal ke barak militer tak langgar ham,Politik,06/05/2025,https://nasional.kompas.com/read/2025/05/06/16453241/natalius-pigai-kebijakan-deddy-mulyadi-didik-anak-nakal-ke-barak-militer-tak
"polemik jembatan haji endang-bbws, dedi mulyadi turun cari tahu akar masalah",Politik,06/05/2025,https://bandung.kompas.com/read/2025/05/06/160605678/polemik-jembatan-haji-endang-bbws-dedi-mulyadi-turun-cari-tahu-akar-masalah
"sidang tom lembong, saksi ungkap moeldoko teken mou pengadaan gula tahun 2013",Lainnya,06/05/2025,https://nasional.kompas.com/read/2025/05/06/16134651/sidang-tom-lembong-saksi-ungkap-moeldoko-teken-mou-pengadaan-gula-tahun-2013
hormat prabowo untuk try sutrisno sebelum berpidato di halal bihalal purnawirawan tni,Politik,06/05/2025,https://nasional.kompas.com/read/2025/05/06/17244331/hormat-prabowo-untuk-try-sutrisno-sebelum-berpidato-di-halal-bihalal
"kuliah s2 sambil urus balita, sri astutiningsih raih ipk 4,00 di ugm",Lainnya,06/05/2025,https://www.kompas.com/edu/read/2025/05/06/165230171/kuliah-s2-sambil-urus-balita-sri-astutiningsih-raih-ipk-400-di-ugm
kronologi razman nasution dibawa ke rumah sakit setelah alami pusing hingga muntah,Kesehatan,06/05/2025,https://www.kompas.com/hype/read/2025/05/06/161248266/kronologi-razman-nasution-dibawa-ke-rumah-sakit-setelah-alami-pusing-hingga
"dokter piprim: saya berprestasi sangat baik, tapi dimutasi mendadak tanpa dasar",Kesehatan,06/05/2025,https://nasional.kompas.com/read/2025/05/06/16160441/dokter-piprim-saya-berprestasi-sangat-baik-tapi-dimutasi-mendadak-tanpa
"gaji rp 6 juta, gadis ini pilih ""ngekos"" di toilet kantor biar hemat",Lainnya,06/05/2025,https://internasional.kompas.com/read/2025/05/06/180613070/gaji-rp-6-juta-gadis-ini-pilih-ngekos-di-toilet-kantor-biar-hemat
"dilakukan luna maya, ini makna sungkeman menjelang pernikahan adat jawa",Keluarga,06/05/2025,https://lifestyle.kompas.com/read/2025/05/06/173000420/dilakukan-luna-maya-ini-makna-sungkeman-menjelang-pernikahan-adat-jawa
armuji ungkap kesaksian eks pegawai sentoso seal bongkar aktivitas dalam gudang milik jan hwa diana,Lainnya,06/05/2025,https://surabaya.kompas.com/read/2025/05/06/165634778/armuji-ungkap-kesaksian-eks-pegawai-sentoso-seal-bongkar-aktivitas-dalam
"viral, soal aspd smp yogyakarta diduga bocor, dinas pendidikan masih selidiki",Pendidikan,06/05/2025,https://yogyakarta.kompas.com/read/2025/05/06/181151578/viral-soal-aspd-smp-yogyakarta-diduga-bocor-dinas-pendidikan-masih
"renata kusmanto tak tuntut harta gana-gini dari fachri albar, hanya minta hak asuh anak",Lainnya,06/05/2025,https://www.kompas.com/hype/read/2025/05/06/165213966/renata-kusmanto-tak-tuntut-harta-gana-gini-dari-fachri-albar-hanya-minta
"canda prabowo sebut ahy dan sugiono ""purnawirawan remaja"": letkol teddy belum",Politik,06/05/2025,https://nasional.kompas.com/read/2025/05/06/17581181/canda-prabowo-sebut-ahy-dan-sugiono-purnawirawan-remaja-letkol-teddy-belum
"dua kali ditolak, andre taulany kembali gugat cerai rien wartia untuk ketiga kali",Lainnya,06/05/2025,https://www.kompas.com/hype/read/2025/05/06/191900566/dua-kali-ditolak-andre-taulany-kembali-gugat-cerai-rien-wartia-untuk-ketiga
kapolri instruksikan kapolda sikat premanisme yang meresahkan,Sosial,06/05/2025,https://nasional.kompas.com/read/2025/05/06/16315411/kapolri-instruksikan-kapolda-sikat-premanisme-yang-meresahkan
"purnawirawan tni ad: pak prabowo, percayalah, bapak tidak sendirian",Politik,06/05/2025,https://nasional.kompas.com/read/2025/05/06/17282411/purnawirawan-tni-ad-pak-prabowo-percayalah-bapak-tidak-sendirian
saksi sebut laba operasi gula tom lembong dipakai untuk kesejahteraan prajurit tni-polri,Lainnya,06/05/2025,https://nasional.kompas.com/read/2025/05/06/20471751/saksi-sebut-laba-operasi-gula-tom-lembong-dipakai-untuk-kesejahteraan
"link live streaming inter vs barca di leg 2 semifinal liga champions, kickoff rabu pukul 02.00 wib",Olahraga,06/05/2025,https://www.kompas.com/kalimantan-timur/read/2025/05/06/233132688/link-live-streaming-inter-vs-barca-di-leg-2-semifinal-liga
dokter piprim bongkar banyak dokter yang dimutasi kemenkes karena mendukungnya,Kesehatan,06/05/2025,https://nasional.kompas.com/read/2025/05/06/20374371/dokter-piprim-bongkar-banyak-dokter-yang-dimutasi-kemenkes-karena
"sentoso seal beroperasi meski disegel, armuji: enggak ada jeranya, orang nekat",Lainnya,06/05/2025,https://surabaya.kompas.com/read/2025/05/06/193732178/sentoso-seal-beroperasi-meski-disegel-armuji-enggak-ada-jeranya-orang-nekat
prabowo: soeharto tak mau berkuasa dengan senjata,Politik,06/05/2025,https://nasional.kompas.com/read/2025/05/06/19375211/prabowo-soeharto-tak-mau-berkuasa-dengan-senjata
"daftar stan 2025 tak pakai nilai utbk, cek syarat nilai rapor dan ijazah",Lainnya,06/05/2025,https://www.kompas.com/edu/read/2025/05/06/160813971/daftar-stan-2025-tak-pakai-nilai-utbk-cek-syarat-nilai-rapor-dan-ijazah
"ramai warga pindai retina demi uang tunai, ini bahaya dan risiko di balik worldcoin",Lainnya,06/05/2025,https://www.kompas.com/jawa-barat/read/2025/05/06/201353588/ramai-warga-pindai-retina-demi-uang-tunai-ini-bahaya-dan-risiko-di
daftar lengkap 12 korban tewas dalam kecelakaan bus als di padang panjang,Lainnya,06/05/2025,https://www.kompas.com/jawa-barat/read/2025/05/06/174734688/daftar-lengkap-12-korban-tewas-dalam-kecelakaan-bus-als-di-padang
"sah, luna maya dan maxime bouttier resmi menikah",Lainnya,07/05/2025,https://www.kompas.com/hype/read/2025/05/07/162643866/sah-luna-maya-dan-maxime-bouttier-resmi-menikah
"13 tanda ginjal bermasalah yang dirasakan di malam hari, salah satunya sesak nafas",Lainnya,07/05/2025,https://www.kompas.com/jawa-tengah/read/2025/05/07/164035688/13-tanda-ginjal-bermasalah-yang-dirasakan-di-malam-hari-salah
kementerian bumn tunjuk rivan a purwantono jadi direktur utama pt jasa marga,Politik,07/05/2025,https://nasional.kompas.com/read/2025/05/07/18115761/kementerian-bumn-tunjuk-rivan-a-purwantono-jadi-direktur-utama-pt-jasa-marga
long weekend mei 2025 kapan? cek tanggal merah kalender bulan ini,Lainnya,07/05/2025,https://www.kompas.com/sulawesi-selatan/read/2025/05/07/172701388/long-weekend-mei-2025-kapan-cek-tanggal-merah-kalender-bulan
"maskawin pernikahan luna maya dan maxime bouttier: 7,5 gram logam mulia dan uang 2.025 dollar",Keluarga,07/05/2025,https://www.kompas.com/hype/read/2025/05/07/163520966/maskawin-pernikahan-luna-maya-dan-maxime-bouttier-75-gram-logam-mulia-dan
"menangis di pernikahan luna maya, raffi ahmad: akhirnya menemukan pelabuhan terindahmu",Keluarga,07/05/2025,https://www.kompas.com/hype/read/2025/05/07/182838266/menangis-di-pernikahan-luna-maya-raffi-ahmad-akhirnya-menemukan-pelabuhan
crazy rich surabaya gabriel rey belikan mobil baru untuk korban yang ditabraknya,Transportasi,07/05/2025,https://surabaya.kompas.com/read/2025/05/07/173811678/crazy-rich-surabaya-gabriel-rey-belikan-mobil-baru-untuk-korban-yang
kemenkes sebut hanya dokter piprim yang keberatan soal keberadaan kolegium,Kesehatan,07/05/2025,https://nasional.kompas.com/read/2025/05/07/16485851/kemenkes-sebut-hanya-dokter-piprim-yang-keberatan-soal-keberadaan-kolegium
transjakarta dan mrt resmi gratis mulai hari ini untuk masyarakat tertentu,Sosial,07/05/2025,https://megapolitan.kompas.com/read/2025/05/07/16475521/transjakarta-dan-mrt-resmi-gratis-mulai-hari-ini-untuk-masyarakat
anggaran renovasi sekolah rusak rp 20 miliar turut dikorupsi mbak ita dan suami,Kriminal,07/05/2025,https://regional.kompas.com/read/2025/05/07/165348278/anggaran-renovasi-sekolah-rusak-rp-20-miliar-turut-dikorupsi-mbak-ita-dan
"tolak rp 150 juta dari oci, eks pemain sirkus tuntut rp 700 juta per orang",Lainnya,07/05/2025,https://nasional.kompas.com/read/2025/05/07/17032871/tolak-rp-150-juta-dari-oci-eks-pemain-sirkus-tuntut-rp-700-juta-per-orang
